Size,Merge Sort Time (s),Insertion Sort Time (s),Timsort Time (s)
1000,0.004235303999999829,0.03239243199999997,8.809400000009404e-05
10000,0.0360978460000001,3.2245291509999996,0.0011016249999995509
100000,0.44418669499999996,,0.015172366999999909
1000000,6.009292750999999,,0.2585094849999994
